group,config,method,epoch,trainable_params,pct_of_qwen,train_loss,eval_loss,distinct_1,distinct_2,distinct_2_tok,self_distinct_2,combined_distinct_2,bertscore_post_P,bertscore_post_F1,bertscore_ref_F1,ppl_comments,ppl_wiki,len_mean,comb_dist_per_len,judge_acc,judge_correct,judge_total
PEFT,qwen_lora_fan_ep3,"LoRA Attn (q,k,v,o)",3,1081344,0.2189,2.763859619140625,3.157031774520874,0.5439938791124713,0.9163214581607291,0.768642447418738,0.984918802944813,0.7570503992042348,0.6390606164932251,0.5890475511550903,0.6232513189315796,24.99,20.49,,,0.5052631578947369,48,95
PEFT,qwen_lora_fan_ep4,"LoRA Attn (q,k,v,o)",4,1081344,0.2189,2.55900634765625,3.2072184085845947,0.5176544766708702,0.9158815612382234,0.7701149425287356,0.9821206946347785,0.7563458223049443,0.6408503651618958,0.596127450466156,0.623809814453125,27.7,25.54,,,0.49473684210526314,47,95
PEFT,qwen_lora_fan_ep5,"LoRA Attn (q,k,v,o)",5,1081344,0.2189,2.3499873046875,3.3013076782226562,0.5238095238095238,0.9296811120196239,0.7469523457702253,0.9636494702618851,0.71980023231235,0.6381609439849854,0.5883123874664307,0.6218953728675842,31.72,34.85,,,0.49473684210526314,47,95
PEFT,qwen_lora_fan_ep6,"LoRA Attn (q,k,v,o)",6,1081344,0.2189,2.1756279296875,3.432654857635498,0.5515394912985274,0.9418938307030129,0.8015925680159257,0.9801603856213021,0.7856892805776596,0.6404699683189392,0.5937145948410034,0.619892954826355,35.69,39.61,,,0.5368421052631579,51,95
PEFT,qwen_lora_fan_ep7,"LoRA Attn (q,k,v,o)",7,1081344,0.2189,2.039004638671875,3.551863193511963,0.5380747126436781,0.9342105263157895,0.7968463513017968,0.9767700254470769,0.7783356308384665,0.6375980377197266,0.5905655026435852,0.6204874515533447,39.34,41.54,,,0.5157894736842106,49,95
PEFT,qwen_lora_fan_ep8,"LoRA Attn (q,k,v,o)",8,1081344,0.2189,1.9749415283203124,3.646967887878418,0.5554739162380602,0.9452815226011102,0.8158473954512105,0.989979784860149,0.8076724290275024,0.6365752220153809,0.5899186730384827,0.6214929819107056,41.14,43.94,,,0.5052631578947369,48,95
PEFT,qwen_lora_ffn_ep1,"LoRA FFN (gate,up,down)",1,3317760,0.6716,3.22784130859375,,0.5035369774919615,0.902405498281787,0.7156549520766773,0.9651153997437939,0.690689615152108,0.6398735642433167,0.5941148996353149,0.6201118230819702,23.69,19.91,,,0.5368421052631579,51,95
PEFT,qwen_lora_ffn_ep2,"LoRA FFN (gate,up,down)",2,3317760,0.6716,2.980972900390625,3.1615865230560303,0.5010737294201861,0.8835774865073246,0.7269105396595437,0.9704999710691132,0.7054666577094206,0.6369407773017883,0.5896095037460327,0.6190240979194641,23.77,22.87,,,0.5052631578947369,48,95
PEFT,qwen_lora_ffn_ep3,"LoRA FFN (gate,up,down)",3,3317760,0.6716,2.76376123046875,3.157377243041992,0.5426781519185592,0.91928632115548,0.7450532724505328,0.982181420823899,0.7317774817249598,0.6413018107414246,0.5906927585601807,0.623171329498291,25.0,20.13,,,0.4631578947368421,44,95
PEFT,qwen_lora_ffn_ep4,"LoRA FFN (gate,up,down)",4,3317760,0.6716,2.559245361328125,3.207012891769409,0.5067484662576687,0.9098039215686274,0.7761580822805313,0.9843657876607701,0.764023462013348,0.6402744054794312,0.5953787565231323,0.6217045783996582,27.67,24.88,,,0.49473684210526314,47,95
PEFT,qwen_lora_ffn_ep5,"LoRA FFN (gate,up,down)",5,3317760,0.6716,2.35033154296875,3.2997848987579346,0.5438723712835388,0.9225957779515246,0.7586328400281889,0.9662032539687195,0.7329935186027672,0.6391504406929016,0.5911996364593506,0.6221712231636047,31.64,34.49,,,0.5263157894736842,50,95
PEFT,qwen_lora_ffn_ep6,"LoRA FFN (gate,up,down)",6,3317760,0.6716,2.17574853515625,3.4299633502960205,0.5550742574257426,0.9406332453825857,0.7877588306942753,0.97854143711534,0.770854658287876,0.6431359052658081,0.5974857807159424,0.6186713576316833,35.74,38.31,,,0.5473684210526316,52,95
PEFT,qwen_lora_ffn_ep7,"LoRA FFN (gate,up,down)",7,3317760,0.6716,2.0389727783203124,3.551983118057251,0.5462068965517242,0.945925925925926,0.8006198347107438,0.9805493387316523,0.7850472495010646,0.6395161747932434,0.5924519300460815,0.6210370659828186,39.39,40.68,,,0.5052631578947369,48,95
PEFT,qwen_lora_ffn_ep8,"LoRA FFN (gate,up,down)",8,3317760,0.6716,1.97414453125,3.6475181579589844,0.5637773079633545,0.9469294920394238,0.8016920473773266,0.9824351096670825,0.7876104144843717,0.6370089650154114,0.5912917852401733,0.6190240383148193,41.14,42.79,,,0.5263157894736842,50,95
PEFT,qwen_ia3_ep1,"IA3 (q,v)",1,24576,0.005,3.32796875,,0.5152979066022544,0.8713910761154856,0.7393483709273183,0.9636196235420116,0.712450598859382,0.6365470290184021,0.5791910290718079,0.612206220626831,26.54,12.75,,,0.5760869565217391,53,92
PEFT,qwen_ia3_ep2,"IA3 (q,v)",2,24576,0.005,3.200990234375,3.272127628326416,0.555923777961889,0.9160649819494585,0.7750528541226216,0.9697445228048008,0.7516032601696406,0.6379295587539673,0.5815936923027039,0.6099279522895813,26.26,13.27,,,0.4946236559139785,46,93
PEFT,qwen_ia3_ep3,"IA3 (q,v)",3,24576,0.005,3.13398681640625,3.2578346729278564,0.5413654618473895,0.9040139616055847,0.7620408163265306,0.9798328368859817,0.7466726148841338,0.6366269588470459,0.5810604095458984,0.6092360019683838,26.36,13.74,,,0.4105263157894737,39,95
PEFT,qwen_ia3_ep4,"IA3 (q,v)",4,24576,0.005,3.1064482421875,3.257315158843994,0.5419254658385093,0.9166666666666666,0.7736738703339883,0.9711237499806888,0.7513330702208159,0.6351168751716614,0.5827530026435852,0.6118282079696655,26.64,14.22,,,0.3894736842105263,37,95
PEFT,qwen_ia3_ep5,"IA3 (q,v)",5,24576,0.005,3.0719912109375,3.2648003101348877,0.5845620121422377,0.9421252371916509,0.7925347222222222,0.9762450642040755,0.7737081107797925,0.6356807947158813,0.5814492702484131,0.6119180917739868,26.82,14.55,,,0.3684210526315789,35,95
PEFT,qwen_ia3_ep6,"IA3 (q,v)",6,24576,0.005,3.051114990234375,3.26997971534729,0.5446660884648742,0.8889943074003795,0.7410223912125052,0.9631407126432453,0.713708833957014,0.6374220848083496,0.5816296935081482,0.6121525168418884,27.02,14.83,,,0.43157894736842106,41,95
PEFT,qwen_ia3_ep7,"IA3 (q,v)",7,24576,0.005,3.02853955078125,3.275869369506836,0.5449781659388646,0.8976076555023923,0.7638888888888888,0.9657318228862765,0.737711809149239,0.6343084573745728,0.579939603805542,0.612485945224762,27.11,14.92,,,0.42105263157894735,40,95
PEFT,qwen_ia3_ep8,"IA3 (q,v)",8,24576,0.005,3.021409912109375,3.2792513370513916,0.5505716798592788,0.9016393442622951,0.7626666666666667,0.9675075514927373,0.7378857592717943,0.6336768865585327,0.5789539217948914,0.6120103001594543,27.15,14.95,,,0.4631578947368421,44,95
